,review_comment_message,review_score,sentimento
3,Recebi bem antes do prazo estipulado.,5,positivo
4,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,5,positivo
9,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,4,positivo
12,"Mas um pouco ,travando...pelo valor ta Boa.
",4,positivo
15,"Vendedor confiável, produto ok e entrega antes do prazo.",5,positivo
16,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",2,negativo
19,Péssimo,1,negativo
22,Loja nota 10,5,positivo
24,obrigado pela atençao amim dispensada,5,positivo
27,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",5,positivo
28,relógio muito bonito e barato.,5,positivo
29,Não gostei ! Comprei gato por lebre,1,negativo
32,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",1,negativo
34,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",4,positivo
36,"Recomendo ,",5,positivo
37,muito boa ,5,positivo
38,"Tô completamente apaixonada, loja super responsável e confiável!",5,positivo
39,Nada de chegar o meu pedido.,1,negativo
43,Muito bom. muito cheiroso.,5,positivo
47,"otimo vendedor chegou ate antes do prazo , adorei o produto",5,positivo
49,Processo de compra tranquilo e eficiente.,5,positivo
50,Tomara q dure pois é de pelinho.,5,positivo
51,"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul",1,negativo
55,boa,5,positivo
59,MT lindo,5,positivo
61,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
",5,positivo
62,"Amei achei lindo ,muito delicado adorei",5,positivo
64,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",4,positivo
67,Recomendo o vendedor... ,5,positivo
68,"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. ",1,negativo
69,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
",5,positivo
76,"Produto muito inferior, mal acabado.",1,negativo
79,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,5,positivo
80,Maravilha ,5,positivo
88,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ,5,positivo
89,Pedi reembolso e sem resposta até momento ,1,negativo
90,Super rápido.,5,positivo
100,"Satisfeito
",5,positivo
103,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ",5,positivo
